Site ID,Date,Group_Groupe,Family_Famille,Species_Espèces,Set_ensemble 1,Set_ensemble 2,Set_ensemble  3,Total,Photo #,Fin clip collected_Clip de nageoire collecté?,Whole specimen collected_Échantillon entier prélevé?,Notes
WRK,2-Jul,Invertebrate,Crangonidae,Crangonidae,2000,,,2000,N/A,,y,Only 1 seine conducted this day. Two size categories of Crangon shrimp - took specimens of large and small morphs
WRK,2-Jul,Invertebrate,Littorinidae,Littorina,,,,0,,,y,
WRK,2-Jul,Fish,Phycidae,White Hake,2,,,2,,,y,
WRK,2-Jul,Fish,Pleuronectidae,Winter Flounder,10,,,10,,y,,"Likely winter flounder, check photo"
WRK,2-Jul,Fish,Ammodytidae,Sand Lance,5,,,5,,,y,Lots may have escaped - able to swim through seine mesh
WRK,2-Jul,Fish,Clupeidae,Unknown larval fish,1,,,1,,,y,Possibly herring-like
WRK02,15-Jul,Invertebrate,Crangonidae,Crangonidae,800ml,400ml,600ml,0,20190715_142725.jpg,,,Seine 1 corresponds to site 2 and water sample 2
WRK02,15-Jul,Invertebrate,Littorinidae,Littorina,18,18,34,70,,,,Seine 2 corresponds to site 3 and water sample 3
WRK02,15-Jul,Invertebrate,Asteriidae,Asterias sp.,1,2,1,4,,,,Seine 3 corresponts to site 1 and water sample 1
WRK02,15-Jul,Invertebrate,Mytilidae,Mytilus sp.,0,0,1,1,20190715_151550.jpg,,,
WRK02,15-Jul,Invertebrate,Carcinidae,Green Crab,4,0,9,13,20190715_131415.jpg,,,
WRK02,15-Jul,Invertebrate,Cancridae,Rock Crab,1,0,0,1,20190715_131415.jpg,,,
WRK02,15-Jul,Fish,Phycidae,White Hake,2,1,3,6,20190715_131349.jpg,,y,
WRK02,15-Jul,Fish,Clupeidae,Atlantic Herring,0,43,2,45,20190715_140446.jpg,,y,
WRK02,15-Jul,Fish,Pleuronectidae,Winter Flounder,1,0,5,6,20190715_151110.jpg; 20190715_131738.jpg,,,
WRK02,15-Jul,Fish,Cottidae,Sculpin sp.,4,0,2,6,20190715_131844.jpg,,y,
WRK02,15-Jul,Fish,Ammodytidae,Sand Lance,0,0,6,6,,,,
WRK02,15-Jul,Invertebrate,Balanidae,Barnacle,1,0,0,1,,,,
CON,29-Jul-19,Fish,Clupeidae,Atlantic Herring,396,"10,800",569,11765,,,,150+253+2000 Herring mortality estimate; Set 2 is a very rough estimate for herring because we released them
CON,29-Jul-19,Invertebrate,Carcinidae,Green Crab,23,5,3,31,,,,"Note: set 2 at CON was released due to very high Herring mortality just from pulling net in. >5000 herring observed in this set, one large winter flounder, likely tomcod and hake in the set too."
CON,29-Jul-19,Invertebrate,Littorinidae,Littorina,25,0,16,41,,,,
CON,29-Jul-19,Invertebrate,Nassariidae,Tritia obsoleta,9,0,2,11,20190729_120817.jpg,,,Mud snails ID'd by Kara Layton
CON,29-Jul-19,Invertebrate,Crangonidae,Crangonidae,300ml,N/A,27,27,,,,
CON,29-Jul-19,Fish,Gasterosteidae,Three-spined stickleback,13,N/A,9,22,20190729_115953.jpg,,,
CON,29-Jul-19,Fish,Gadidae,Tomcod,13,N/A,19,32,20190729_113853.jpg; 20190729_113902.jpg; 20190729_114522.jpg; 20190729_132757.jpg,,,
CON,29-Jul-19,Fish,Atherinopsidae,Atlantic Silverside,1,0,0,1,20190729_120052.jpg,,,
CON,29-Jul-19,Fish,Carangidae,Rough Scad,0,0,1,1,20190729_133647.jpg,,,ID'd as Rough Scad according to Daphne Themelis
CON,29-Jul-19,Fish,Cottidae,Sculpin sp.,1,N/A,1,2,20190729_114324.jpg,,y,
CON,29-Jul-19,Fish,Pleuronectidae,Winter Flounder,2,N/A,0,2,20190729_120554.jpg; 20190729_120539.jpg; 20190729_114805.jpg; 20190729_114755.jpg,,,
CON,29-Jul-19,Fish,Pholidae,Rock Gunnel,1,0,0,1,20190729_114846.jpg,,,
CON,29-Jul-19,Invertebrate,Idoteidae,Idotea sp.,0,N/A,1,1,,,,
CON,29-Jul-19,Fish,Ammodytidae,Sand Lance,0,8,3,11,,,,Many sand lance escaped through mesh
CON,29-Jul-19,Fish,Phycidae,White Hake,6,N/A,4,10,20190729_132953.jpg,,,
CON,29-Jul-19,Invertebrate,Caligidae,Sea Lice,1,0,0,1,,,,
TAE,30-Jul-19,Fish,Clupeidae,Atlantic Herring,0,94,N/A,94,,,,"Set 1; 51 alive, 43 mortality. "
TAE,30-Jul-19,Fish,Ammodytidae,Sand Lance,199,1239,N/A,1438,,,,"Set 2; Most alive, 112 mortality. Set 3 - abandoned, mort too high. Likely at least 1000-2000 sand lance in set 3"
TAE,30-Jul-19,Fish,Phycidae,White Hake,2,2,N/A,4,,,,
TAE,30-Jul-19,Invertebrate,Carcinidae,Green Crab,0,,N/A,0,,,,
TAE,30-Jul-19,Invertebrate,Cancridae,Rock Crab,1,1,N/A,2,"P7300055,056.jpg",,,
TAE,30-Jul-19,Invertebrate,Crangonidae,Crangonidae,88,118,N/A,206,,,,
