Photo #,Date,Site ID,Species_Espèces,Notes
20190715_131349.jpg,15-Jul-19,WRK02,White Hake,Unsure of barbel on chin
20190715_131349.jpg,15-Jul-19,WRK02,White Hake,
20190715_131738.jpg,15-Jul-19,WRK02,Flounder,Probably winter flounder - need photos of ventral side in future
20190715_131844.jpg,15-Jul-19,WRK02,Sculpin,Unknown juvenile sculpin
20190715_140446.jpg,15-Jul-19,WRK02,Atlantic Herring,Initially identified as blueback herring
20190715_142725.jpg,15-Jul-19,WRK02,Crangonidae,possibly two or more species of Crangonid shrimps
20190715_151550.jpg,15-Jul-19,WRK02,Mytilus sp.,Large mytilus individual
20190715_131415.jpg,15-Jul-19,WRK02,Green Crab,Group of crabs
20190715_131415.jpg,15-Jul-19,WRK02,Rock Crab,Group of crabs
20190729_113902.jpg,29-Jul-19,CON,Tomcod,
20190729_114324.jpg,29-Jul-19,CON,Sculpin,Unknown juvenile sculpin
20190729_114331.jpg,29-Jul-19,CON,Sculpin,Unknown juvenile sculpin
20190729_114522.jpg,29-Jul-19,CON,Tomcod,
20190729_114755.jpg,29-Jul-19,CON,Winter Flounder,Dorsal photo
20190729_114805.jpg,29-Jul-19,CON,Winter Flounder,Ventral photo
20190729_114844.jpg,29-Jul-19,CON,Rock Gunnel,Photo 1 of same specimen
20190729_114846.jpg,29-Jul-19,CON,Rock Gunnel,Photo 2 of same specimen
20190729_115953.jpg,29-Jul-19,CON,Threespine Stickleback,Potentially pregnant
20190729_120052.jpg,29-Jul-19,CON,Atlantic Silverside,Check ID
20190729_120539.jpg,29-Jul-19,CON,Winter Flounder,Dorsal photo
20190729_120554.jpg,29-Jul-19,CON,Winter Flounder,Ventral photo
20190729_120817.jpg,29-Jul-19,CON,Mud snails,Ilyanassa obsoleta according to Kara Layton
20190729_120817(0).jpg,29-Jul-19,CON,Mud snails,Ilyanassa obsoleta according to Kara Layton
20190729_132755.jpg,29-Jul-19,CON,Tomcod,
20190729_132757.jpg,29-Jul-19,CON,Tomcod,
20190729_132953.jpg,29-Jul-19,CON,White Hake,
20190729_133647.jpg,29-Jul-19,CON,Carangidae,Likely Bigeye Scad according to Don Clarke and Daphne Themelis
P7300055.jpg,30-Jul-19,TAE,Rock Crab,
P7300056.jpg,30-Jul-19,TAE,Rock Crab,Same specimen as 055
P7300063.jpg,30-Jul-19,TAE,Idoteidae,
P7300064.jpg,30-Jul-19,TAE,Winter Flounder,
P7300065.jpg,30-Jul-19,TAE,Winter Flounder,same specimen as 064
P8120085.jpg,12-Aug-19,TAW,Northern Pipefish,
P8120086.jpg,12-Aug-19,TAW,Northern Pipefish,
P8120089.jpg,12-Aug-19,TAW,Cunner,
P8120090.jpg,12-Aug-19,TAW,Cunner,
P8120091.jpg,12-Aug-19,TAW,Northern Pufferfish,ID'd by D. Themelis
P8120093.jpg,12-Aug-19,TAW,Cunner,
P8120096.jpg,12-Aug-19,TAW,Sand Lance,
P8120097.jpg,12-Aug-19,TAW,Sculpin,
P8120098.jpg,12-Aug-19,TAW,Northern Pufferfish,ID'd by D. Themelis
P8120099.jpg,12-Aug-19,TAW,Winter Flounder,
P8120100.jpg,12-Aug-19,TAW,Sculpin,
P8120101.jpg,12-Aug-19,TAW,Sculpin,same specimen as 100
P8120102.jpg,12-Aug-19,TAW,Winter Flounder,
P8120103.jpg,12-Aug-19,TAW,Winter Flounder,Ventral photo
