Water_Sample_ID_ID_de_l'échantillon_d'eau,SurveyID_ID_de_l'enquête,Site,Date,Season_Saison,Site_Description_Description_du_site,SmithRootID,Replicate_Répliquer,Volume_L,Depth_Profondeur_m,Latitude,Longitude,Filter_Pore_Size_Taille_des_pores_du_filtre,Notes
23ESITH1,2023ESI_22,TaylorHead,5/17/2023,Spring,"Eelgrass reference site at Taylor Head Provincial Park, rocky beach",NoID,1,3,2,44.8203,-62.5716,1.2,Spring seining trip to Taylor Head
23ESITH2,2023ESI_17,TaylorHead,5/17/2023,Spring,"Eelgrass reference site at Taylor Head Provincial Park, rocky beach",NoID,2,3,2,44.8206,-62.5721,1.2,Water samples collected from Starcraft boat
23ESITH3,2023ESI_10,TaylorHead,5/17/2023,Spring,"Eelgrass reference site at Taylor Head Provincial Park, rocky beach",NoID,3,3,2,44.8208,-62.5724,1.2,
23ESIMH1,2023ESI_02,Moosehead,5/18/2023,Spring,"Mud/sand beach in Moosehead, right off Hwy 7",NoID,1,3,1.5,44.942492,-62.265288,1.2,"Water collection only at Moosehead, collected by snorkeling"
23ESIMH2,2023ESI_04,Moosehead,5/18/2023,Spring,"Mud/sand beach in Moosehead, right off Hwy 7",NoID,2,3,1.5,44.942492,-62.265288,1.2,MOOSEH23 waypoint
23ESIMH3,2023ESI_05,Moosehead,5/18/2023,Spring,"Mud/sand beach in Moosehead, right off Hwy 7",NoID,3,3,1.5,44.942492,-62.265288,1.2,
23ESIGOLD1,2023ESI_12,Goldboro,5/18/2023,Spring,Rocky beach near Hurricane Island,NoID,1,3,2.5,45.165722,-61.643597,1.2,Water collected by snorkeling near eelgrass bed 
23ESIGOLD2,2023ESI_18,Goldboro,5/18/2023,Spring,Rocky beach near Hurricane Island,NoID,2,3,2.5,45.165722,-61.643597,1.2,GOLD23 waypoint
23ESIGOLD3,2023ESI_06,Goldboro,5/18/2023,Spring,Rocky beach near Hurricane Island,NoID,3,3,2.5,45.165722,-61.643597,1.2,
23ESIOWL1,2023ESI_15,Little Harbour,6/16/2023,Spring,Sandy/rocky beach beside government wharf,55,1,2.82,1,44.709065,-62.840988,1.2,Lots of sandlance here
23ESIOWL2,2023ESI_21,Little Harbour,6/16/2023,Spring,Sandy/rocky beach beside government wharf,56,2,2.91,1,44.709065,-62.840988,1.2,
23ESIOWL3,2023ESI_01,Little Harbour,6/16/2023,Spring,Sandy/rocky beach beside government wharf,57,3,2.93,1,44.709065,-62.840988,1.2,
23ESICON1,2023ESI_08,Conrod Beach,6/16/2023,Spring,Cobble/sand beach off Conrod Beach road,58,1,2.91,1.5,44.699743,-63.179877,1.2,"Lots of juvenile herring, crabs around"
23ESICON2,2023ESI_03,Conrod Beach,6/16/2023,Spring,Cobble/sand beach off Conrod Beach road,59,2,3,1.5,44.699743,-63.179877,1.2,
23ESICON3_SPR,2023ESI_09,Conrod Beach,6/16/2023,Spring,Cobble/sand beach off Conrod Beach road,60,3,2.91,1.5,44.699743,-63.179877,1.2,
23ESICON_Blank,2023ESI_07,Conrod Beach,6/16/2023,Spring,Cobble/sand beach off Conrod Beach road,61,Blank,1.43,,44.699743,-63.179877,1.2,Also tested two hollow-membrane filters with water from OWL and CON
23ESITH1_SUM,499612,TaylorHead,7/12/2023,Summer,"Eelgrass reference site at Taylor Head Provincial Park, rocky beach",NoID,1,,3,44.8203,-62.5716,1.2,Used Claudio's Citizen Science model for summer seining
23ESITH2_SUM,499613,TaylorHead,7/12/2023,Summer,"Eelgrass reference site at Taylor Head Provincial Park, rocky beach",NoID,2,,3,44.8206,-62.5721,1.2,
23ESITH3_SUM,499614,TaylorHead,7/12/2023,Summer,"Eelgrass reference site at Taylor Head Provincial Park, rocky beach",NoID,3,,3,44.8208,-62.5724,1.2,"Rep 3 quite tannic, lots of freshwater input lately"
23ESICON1_SUM,499615,Conrod Beach,7/13/2023,Summer,Cobble/sand beach off Conrod Beach road,NoID,1,,1.5,44.699743,-63.179877,1.2,
